ECG	events
-0.0868225	
-0.0852966	
-0.0846863	
-0.0839233	
-0.0827026	
-0.0820923	
-0.0822449	
-0.08255	
-0.0819397	
-0.0802612	
-0.0799561	
-0.0799561	
-0.0798035	
-0.0796509	
-0.0779724	
-0.0776672	
-0.0773621	
-0.0769043	
-0.0756836	
-0.0746155	
-0.0749207	
-0.0749207	
-0.0743103	
-0.0735474	
-0.0727844	
-0.0724792	
-0.0724792	
-0.0718689	
-0.0706482	
-0.0698853	
-0.0700378	
-0.0695801	
-0.0680542	
-0.0674438	
-0.067749	
-0.0671387	
-0.0654602	
-0.0648499	
-0.0631714	
-0.0630188	
-0.0621033	
-0.0608826	
-0.0595093	
-0.058136	
-0.0575256	
-0.0558472	
-0.0556946	
-0.0547791	
-0.0535583	
-0.0527954	
-0.0524902	label 1
-0.0512695	
-0.0506592	
-0.0505066	
-0.0497437	
-0.0486755	
-0.0479126	
-0.0479126	
-0.0476074	
-0.0463867	
-0.0456238	
-0.045166	
-0.043335	
-0.0434875	
-0.042572	
-0.0410461	
-0.0402832	
-0.0386047	
-0.0376892	
-0.0361633	
-0.0354004	
-0.0340271	
-0.0326538	
-0.0312805	
-0.0309753	
-0.0300598	
-0.0288391	
-0.0282288	
-0.0267029	
-0.0256348	
-0.0241089	
-0.0234985	
-0.0234985	
-0.0230408	
-0.0218201	
-0.0212097	
-0.020752	
-0.0209045	
-0.0202942	
-0.0193787	
-0.0187683	
-0.0186157	
-0.0178528	
-0.0166321	
-0.015564	
-0.0141907	
-0.0140381	
-0.0131226	
-0.0115967	
-0.0106812	
-0.00900269	
-0.00839233	
-0.00686646	
-0.00595093	
-0.00442505	
-0.00366211	
-0.00335693	
-0.00198364	
-0.00137329	
-0.00152588	
-0.00167847	
-0.00152588	
-0.00106812	
0.000152588	
0.000915527	
0.000762939	
0.000762939	
0.0012207	
0.00244141	
0.0038147	
0.00549316	
0.00610352	
0.00793457	
0.0088501	
0.0105286	
0.0126648	
0.0134277	
0.0157166	
0.0175476	
0.0184631	
0.0198364	
0.0204468	
0.022583	
0.0231934	
0.0247192	
0.0259399	
0.0271606	
0.0279236	
0.0285339	
0.0296021	
0.0308228	
0.0320435	
0.0323486	
0.0337219	
0.03479	
0.0358582	
0.0372314	
0.0392151	
0.039978	
0.0424194	
0.0447083	
0.0468445	
0.0485229	
0.0500488	
0.0518799	
0.0537109	
0.0549316	
0.0566101	
0.0584412	
0.0598145	
0.0613403	
0.0621033	
0.0640869	
0.065918	
0.0671387	
0.0686646	
0.0697327	
0.0708008	
0.0723267	
0.0735474	
0.0744629	
0.0758362	
0.0767517	
0.0788879	
0.0805664	
0.0816345	
0.0837708	
0.0857544	
0.0866699	
0.0889587	
0.0904846	
0.0917053	
0.0935364	
0.09552	
0.0965881	
0.0978088	
0.0987244	
0.100098	
0.101166	
0.102692	
0.103607	
0.105591	
0.106049	
0.108032	
0.110016	
0.111237	
0.112457	
0.113525	
0.115509	
0.117493	
0.118256	
0.120239	
0.12207	
0.123291	
0.124969	
0.125885	
0.127411	
0.127869	
0.128174	
0.129852	
0.130157	
0.130005	
0.13092	
0.131989	
0.132904	
0.132751	
0.133057	
0.132599	
0.133667	
0.134583	
0.134888	
0.135956	
0.136719	
0.137634	
0.138245	
0.139465	
0.139771	
0.140381	
0.142365	
0.142975	
0.144348	
0.145264	
0.145111	
0.145569	
0.147247	
0.147858	
0.147552	
0.147858	
0.14801	
0.149536	
0.149841	
0.150146	
0.149841	
0.149689	
0.149994	
0.149536	
0.148163	
0.1474	
0.147552	
0.147705	
0.1474	
0.1474	
0.146942	
0.145569	
0.145111	
0.144958	
0.144501	
0.14328	
0.142059	
0.140686	
0.139618	
0.138092	
0.137329	
0.135498	
0.134735	
0.132751	
0.130615	
0.1297	
0.128021	
0.12558	
0.123596	
0.122223	
0.120239	
0.118256	
0.115662	
0.113068	
0.110779	
0.108337	
0.105591	
0.102844	
0.0991821	
0.0959778	
0.0917053	
0.0881958	
0.0845337	
0.0813293	
0.0784302	
0.0746155	
0.0708008	
0.0675964	
0.0643921	
0.0598145	
0.0570679	
0.0538635	
0.050354	
0.0463867	
0.042572	
0.0396729	
0.0358582	
0.0320435	
0.0282288	
0.0248718	
0.0210571	
0.0177002	
0.0141907	
0.0100708	
0.00610352	
0.00335693	
-0.000762939	
-0.0038147	
-0.00686646	
-0.0105286	
-0.0138855	
-0.018158	
-0.0218201	
-0.025177	
-0.0288391	
-0.0325012	
-0.0360107	
-0.0401306	
-0.0427246	
-0.045929	
-0.0498962	
-0.0531006	
-0.0575256	
-0.0602722	
-0.063324	
-0.0669861	
-0.0698853	
-0.072937	
-0.0769043	
-0.0794983	
-0.08255	
-0.0865173	
-0.0894165	
-0.0927734	
-0.096283	
-0.0997925	
-0.10376	
-0.106964	
-0.109253	
-0.11261	
-0.116119	
-0.118866	
-0.121307	
-0.123596	
-0.12619	
-0.128632	
-0.131073	
-0.133362	
-0.136261	
-0.138092	
-0.139465	
-0.141602	
-0.143738	
-0.145264	
-0.146484	
-0.14801	
-0.150452	
-0.15152	
-0.152893	
-0.154114	
-0.155334	
-0.156097	
-0.157623	
-0.158997	
-0.160065	
-0.161285	
-0.162659	
-0.163116	
-0.163269	
-0.164795	
-0.165405	
-0.165863	
-0.167389	
-0.167694	
-0.167694	
-0.167999	
-0.167694	
-0.168304	
-0.170135	
-0.170593	
-0.170135	
-0.168762	
-0.167694	
-0.167999	
-0.168152	
-0.167847	
-0.167999	
-0.167847	
-0.167847	
-0.167999	
-0.167694	
-0.168152	
-0.167847	
-0.167847	
-0.167847	
-0.16861	
-0.169678	
-0.170593	
-0.170135	
-0.170593	
-0.172119	
-0.172577	
-0.172882	
-0.173035	
-0.17334	
-0.174713	
-0.175476	
-0.175171	
-0.175629	
-0.175476	
-0.175323	
-0.175476	
-0.175323	
-0.175629	
-0.175018	
-0.173798	
-0.173035	
-0.172882	
-0.172424	
-0.170746	
-0.170593	
-0.170593	
-0.16983	
-0.168915	
-0.168152	
-0.167542	
-0.166016	
-0.16571	
-0.164795	
-0.164032	
-0.162811	
-0.161285	
-0.160675	
-0.160828	
-0.160217	
-0.158691	
-0.158539	
-0.157623	
-0.156097	
-0.155792	
-0.155182	
-0.154114	
-0.153503	
-0.152893	
-0.151367	
-0.151215	
-0.150757	
-0.150299	
-0.149384	
-0.148468	
-0.148163	
-0.146942	
-0.146332	
-0.145416	
-0.144196	
-0.142975	
-0.141449	
-0.140686	
-0.139313	
-0.138245	
-0.136261	
-0.13443	
-0.133514	
-0.131836	
-0.130768	
-0.129242	
-0.129242	
-0.128174	
-0.126953	
-0.12619	
-0.124207	
-0.124054	
-0.124207	
-0.123444	
-0.12207	
-0.121765	
-0.121307	
-0.119629	
-0.119019	
-0.119171	
-0.118561	
-0.11673	
-0.11673	
-0.11673	
-0.116577	
-0.116119	
-0.114594	
-0.113983	
-0.114136	
-0.114288	
-0.114288	
-0.114288	
-0.113983	
-0.114288	
-0.113373	
-0.11261	
-0.111847	
-0.111084	
-0.110016	
-0.109253	
-0.108795	
-0.10788	
-0.106354	
-0.10498	
-0.104218	
-0.102386	
-0.101471	
-0.0997925	
-0.0990295	
-0.0973511	
-0.0965881	
-0.0946045	
-0.0939941	
-0.0924683	
-0.0918579	
-0.0914001	
-0.0901794	
-0.0897217	
-0.0900269	
-0.0898743	
-0.0891113	
-0.0874329	
-0.0868225	
-0.0874329	
-0.0872803	
-0.0866699	
-0.085144	
-0.0849915	
-0.0842285	
-0.0827026	
-0.0823975	
-0.0822449	
-0.0816345	
-0.0802612	
-0.0802612	
-0.0791931	
-0.0776672	
-0.0776672	
-0.0772095	
-0.0765991	
-0.075531	
-0.0752258	
-0.0749207	
-0.0750732	
-0.0746155	
-0.0730896	
-0.0726318	
-0.0727844	
-0.0724792	
-0.0724792	
-0.0723267	
-0.0718689	
-0.070343	
-0.070343	
-0.0700378	
-0.0695801	
-0.0683594	
-0.0674438	
-0.0672913	
-0.0657654	
-0.0653076	
-0.0654602	
-0.0646973	
-0.0637817	
-0.0630188	
-0.062561	
-0.0617981	
-0.06073	
-0.0602722	
-0.0601196	
-0.0595093	
-0.0584412	
-0.0579834	
-0.0576782	
-0.0575256	
-0.0556946	
-0.0556946	
-0.055542	
-0.0552368	
-0.0537109	
-0.052948	
-0.052948	
-0.0532532	
-0.0534058	
-0.0524902	
-0.0524902	
-0.0511169	
-0.0505066	
-0.0508118	
-0.050354	
-0.0498962	
-0.0489807	
-0.0480652	
-0.0480652	
-0.0479126	
-0.0483704	
-0.0480652	
-0.04776	
-0.0473022	
-0.0457764	
-0.0457764	
-0.0457764	
-0.0447083	
-0.0437927	
-0.0431824	
-0.0430298	
-0.0427246	
-0.0424194	
-0.0413513	
-0.0408936	
-0.040741	
-0.0405884	
-0.040741	
-0.040741	
-0.0413513	
-0.0427246	
-0.043335	
-0.0434875	
-0.0434875	
-0.0431824	
-0.043335	
-0.042572	
-0.0431824	
-0.0427246	
-0.0431824	
-0.0424194	
-0.0415039	
-0.040741	
-0.0401306	
-0.0386047	
-0.0384521	
-0.0378418	
-0.0364685	
-0.035553	
-0.0354004	
-0.0335693	
-0.0334167	
-0.0326538	
-0.0315857	
-0.0309753	
-0.0308228	
-0.0306702	
-0.0306702	
-0.0309753	
-0.0308228	
-0.0308228	
-0.0305176	
-0.0306702	
-0.0308228	
-0.0308228	
-0.0309753	
-0.030365	
-0.0309753	
-0.0311279	
-0.0309753	
-0.0311279	
-0.0306702	
-0.0309753	
-0.0309753	
-0.0311279	
-0.0308228	
-0.0311279	
-0.0306702	
-0.0306702	
-0.0311279	
-0.0308228	
-0.0311279	
-0.0309753	
-0.0308228	
-0.0302124	
-0.0292969	
-0.0286865	
-0.0285339	
-0.0282288	
-0.0283813	
-0.0283813	
-0.0285339	
-0.0300598	
-0.0305176	
-0.0306702	
-0.0309753	
-0.0311279	
-0.0325012	
-0.0334167	
-0.0335693	
-0.0334167	
-0.0338745	
-0.0350952	
-0.0358582	
-0.0357056	
-0.0360107	
-0.035553	
-0.0358582	
-0.0366211	
-0.0376892	
-0.038147	
-0.0378418	
-0.0378418	
-0.0366211	
-0.0360107	
-0.035553	
-0.0357056	
-0.0358582	
-0.0352478	
-0.0338745	
-0.0332642	
-0.0328064	
-0.0315857	
-0.0311279	
-0.0305176	
-0.0288391	
-0.027771	
-0.0267029	
-0.0260925	
-0.0253296	
-0.0241089	
-0.0228882	
-0.0216675	
-0.0212097	
-0.0212097	
-0.0210571	
-0.0212097	
-0.0209045	
-0.0210571	
-0.0212097	
-0.0210571	
-0.0210571	
-0.0212097	
-0.0219727	
-0.0230408	
-0.0233459	
-0.0239563	
-0.0256348	
-0.0260925	
-0.0263977	
-0.0279236	
-0.0282288	
-0.0282288	
-0.0286865	
-0.0288391	
-0.030365	
