TimeStamp	PupilSizeLeft	PupilSizeRight	Event
0			
799.673	-1	-1	
826.82	-1	-1	
866.143	-1	-1	
906.994	-1	-1	
924.998	-1	-1	
931.708	-1	-1	
938.905	2.0746	1.9453	
952.753	2.0617	1.9319	
968.832	2.1151	1.9969	
986.045	2.1629	2.0309	
1001.629	2.1695	2.0302	
1019.341	2.1746	2.0219	
1035.657	2.1772	2.0196	
1052.039	2.1634	2.0156	
1068.801	2.1611	2.0175	
1085.966	2.1656	2.0176	
1101.469	2.1697	2.0204	
1118.556	2.1746	2.0264	
1134.675	2.1785	2.0315	
1151.774	2.1835	2.0331	
1168.437	2.1777	2.0319	
1185.841	2.1776	2.0272	
1201.406	2.1788	2.0329	
1218.973	2.171	2.0353	
1234.805	2.169	2.0287	
1251.656	2.1716	2.0289	
1267.93	2.1744	2.0268	
1285.814	2.1641	2.0239	
1301.099	2.1599	2.0088	
1319.006	2.162	2.0057	
1334.465	2.1569	2.0087	
1351.815	2.169	2.0169	
1367.798	2.1675	2.0082	
1385.732	2.1731	2.0102	
1401.043	2.1816	2.0037	
1418.887	2.1853	2.005	
1434.487	2.1773	2.018	
1452.138	2.169	2.022	
1467.816	2.173	2.0207	
1485.788	2.1628	2.0059	
1498.113			practice
1501.021	2.1611	2.0024	practice
1519.034	2.1652	2.0076	practice
1534.252	2.171	2.011	practice
1552.086	2.1805	2.0128	practice
1567.679	2.1774	2.0077	practice
1584.539	2.1614	2.0131	practice
1600.044	2.1478	-1	practice
1616.537	-1	-1	practice
1632.646	-1	-1	practice
1649.76	-1	-1	practice
1666.303	-1	-1	practice
1683.161	-1	-1	practice
1699.583	-1	-1	practice
1717.379	-1	-1	practice
1734.149	2.1974	1.4373	practice
1751.271	2.224	1.4373	practice
1767.793	2.2576	2.0918	practice
1784.89	2.2535	2.09	practice
1801.107	2.2745	2.098	practice
1818.276	2.2911	2.0986	practice
1834.476	2.3	2.1042	practice
1851.443	2.304	2.114	practice
1867.685	2.3212	2.1209	practice
1884.866	2.333	2.1233	practice
1900.545	2.3588	2.1435	practice
1918.23	2.3663	2.1368	practice
1934.102	2.3698	2.1517	practice
1951.204	2.3852	2.1606	practice
1967.439	2.4044	2.1746	practice
1984.961	2.4005	2.1897	practice
2000.498	2.4163	2.2004	practice
2018.215	2.4527	2.2193	practice
2034.098	2.4635	2.2396	practice
2051.168	2.4596	2.2324	practice
2067.6	2.4793	2.2477	practice
2084.881	2.4766	2.2568	practice
2100.693	2.4698	2.2569	practice
2118.167	2.4577	2.2463	practice
2134.002	2.4488	2.2421	practice
2151.244	2.4476	2.2414	practice
2167.529	2.4347	2.2188	practice
2184.707	2.4256	2.2167	practice
2201.06	2.403	2.1906	practice
2218.124	2.3994	2.1768	practice
2234.104	2.3835	2.157	practice
2251.332	2.3739	2.1458	practice
2267.503	2.3641	2.1355	practice
2284.952	2.3503	2.1286	practice
2300.535	2.3321	2.1103	practice
2318.602	2.3209	2.0973	practice
2334.47	2.3066	2.0885	practice
2351.383	2.2928	2.0777	practice
2370.637	2.291	2.0556	practice
2396.582	2.2914	2.0602	practice
2421.119	2.2724	2.0576	practice
2428.198	2.2561	2.0627	practice
2441.189	2.2409	2.0565	practice
2451.91	2.238	2.0526	practice
2470.778	2.2429	2.0409	practice
2485.012	2.2451	2.036	practice
2500.435	2.2247	2.0346	practice
2517.91	2.2103	2.0217	practice
2533.821	2.2046	2.0099	practice
2550.814	2.2071	2.0197	practice
2567.222	2.2056	2.0161	practice
2584.488	2.2036	2.0047	practice
2600.306	2.2025	2.0076	practice
2617.825	2.1905	1.9963	practice
2633.987	2.1871	1.9916	practice
2651.069	2.1877	2.007	practice
2667.226	2.1951	2.0071	practice
2684.332	2.1998	2.0052	practice
2700.294	2.1945	1.9969	practice
2717.807	2.2033	2.0078	practice
2733.66	2.2056	2.0146	practice
2751.193	2.1994	2.0023	practice
2767.202	2.2062	2.016	practice
2784.652	2.2121	2.0183	practice
2800.256	2.2057	2.0049	practice
2817.991	2.198	2.0034	practice
2833.717	2.1883	2.0005	practice
2851.169	2.1813	1.9963	practice
2867.433	2.1608	1.9796	practice
2884.451	2.1435	1.9707	practice
2900.172	2.1206	1.9533	practice
2917.994	2.1197	1.9471	practice
2933.409	2.0973	1.9321	practice
2951.263	2.0764	1.9107	practice
2967.093	2.0539	1.8873	practice
2984.687	2.0549	1.8821	practice
3000.355	2.0422	1.8773	practice
3017.784	2.0113	1.8892	practice
3033.629	2.0042	1.8746	practice
3050.408	2.0029	1.854	practice
3066.64	1.9856	1.8352	practice
3084.122	1.9771	1.8268	practice
3098.673	1.9522	1.8055	practice
3115.192	-1	-1	practice
3131.658	-1	-1	practice
3148.643	-1	-1	practice
3165.082	-1	-1	practice
3182.659	-1	-1	practice
3198.631	-1	-1	practice
3215.759	-1	-1	practice
3233.267	1.8808	1.3013	practice
3250.654	1.8795	1.5434	practice
3266.722	1.8913	1.7758	practice
3283.954	1.8958	1.7892	practice
3299.896	1.8992	1.7845	practice
3317.249	1.8875	1.7662	practice
3333.215	1.8809	1.7792	practice
3350.255	1.8811	1.7657	practice
3366.605	1.8822	1.7549	practice
3383.903	1.8915	1.7724	practice
3399.952	1.9031	1.7815	practice
3417.437	1.9092	1.7796	practice
3433.169	1.9062	1.7935	practice
3450.406	1.9124	1.7964	practice
3466.412	1.9294	1.8056	practice
3483.402	1.9381	1.8127	practice
3499.715	1.9607	1.8334	practice
3517.317	1.9688	1.8502	practice
3533.151	1.979	1.8527	practice
3550.345	1.992	1.8592	practice
3566.518	1.9923	1.8741	practice
3583.937	1.9683	1.8639	practice
3599.421	1.9724	1.8448	practice
3617.347	1.9765	1.845	practice
3632.793	1.9571	1.8523	practice
3650.381	1.959	1.8496	practice
3666.014	1.9408	1.8331	practice
3683.932	1.9348	1.8243	practice
3699.439	1.9379	1.8275	practice
3716.961	1.9339	1.8236	practice
3732.746	1.9337	1.8168	practice
3750.407	1.9301	1.8235	practice
3766.073	1.9279	1.8013	practice
3783.511	1.9177	1.8013	practice
3799.475	1.9089	1.8128	practice
3816.812	1.9057	1.7966	practice
3832.718	1.8934	1.7873	practice
3849.339	1.84	1.8051	practice
3865.794	1.7236	-1	practice
3881.201	-1	-1	practice
3897.748	-1	-1	practice
3914.656	-1	-1	practice
3931.036	-1	-1	practice
3947.969	-1	-1	practice
3964.092	-1	-1	practice
3981.225	-1	-1	practice
3997.682	-1	-1	practice
4012.047	-1	-1	practice
4039.721	-1	-1	practice
4075.312	-1	-1	practice
4103.359	-1	-1	practice
4113.701	-1	-1	practice
4130.072	1.9317	1.8214	practice
4148.171	1.9193	1.8144	practice
4164.192	1.9197	1.8333	practice
4181.502	1.9344	1.8341	practice
4197.627	1.9601	1.8574	practice
4214.938	1.9747	1.8743	practice
4231.136	2.002	1.8944	practice
4248.158	2.0242	1.8974	practice
4264.085	2.0629	1.9283	practice
4281.606	2.0749	1.9485	practice
4297.548	2.0956	1.9726	practice
4315.077	2.1103	2.0008	practice
4331.178	2.1405	2.0296	practice
4348.402	2.1542	2.0484	practice
4364.045	2.1846	2.0842	practice
4381.148	2.2128	2.0795	practice
4397.493	2.2275	2.0926	practice
4414.707	2.2242	2.0933	practice
4430.521	2.2315	2.0905	practice
4448.225	2.2373	2.0872	practice
4464.052	2.2152	2.08	practice
4481.36	2.1918	2.0769	practice
4497.398	2.1821	2.0679	practice
4514.775	2.1687	2.0716	practice
4530.455	2.1529	2.0571	practice
4548.187	2.1444	2.0352	practice
4564.136	2.135	2.0187	practice
4581.497	2.1356	2.0235	practice
